date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location,target
2012-09-08,24,12,0.0,13.0,4,39,No moonrise,02:28 PM,06:46 AM,07:32 PM,16,17,18,17,28,37,93,14.2,1006,24,7,237,14,Pennsylvania,0
2012-09-09,27,14,0.0,11.0,4,31,12:47 AM,02:43 PM,06:51 AM,07:19 PM,14,19,20,19,24,29,78,2.9,1016,27,8,85,11,San Francisco Bay Area,0
2012-09-05,26,23,0.0,7.0,5,62,09:55 PM,11:36 AM,06:34 AM,07:27 PM,23,26,26,24,22,54,93,16.1,1010,26,8,180,12,Southeastern Michigan,0
2012-08-11,26,22,0.0,12.0,5,34,12:37 AM,03:36 PM,06:10 AM,08:03 PM,22,26,26,23,21,56,96,14.2,1010,26,8,203,8,Southeastern Michigan,0
2012-07-24,30,26,0.0,10.0,6,35,11:59 AM,11:41 PM,06:35 AM,08:16 PM,24,33,33,28,18,41,81,6.7,1017,30,8,175,11,Texas,0
2012-07-19,35,23,0.0,13.0,6,0,06:46 AM,08:41 PM,06:15 AM,08:32 PM,22,31,31,28,19,44,75,1.2,1014,35,8,235,10,North Carolina,0
2012-07-18,29,15,0.0,15.0,6,0,05:29 AM,07:41 PM,05:52 AM,08:05 PM,4,22,22,23,22,32,32,0.0,1014,29,10,238,12,California,0
2012-07-09,34,23,0.0,10.0,6,59,No moonrise,12:20 PM,06:09 AM,08:37 PM,23,31,31,28,16,44,81,24.7,1012,34,7,152,8,North Carolina,0
2012-07-06,30,23,0.0,7.0,6,81,10:20 PM,09:34 AM,06:46 AM,07:53 PM,22,29,29,26,20,49,86,0.0,1012,30,5,96,9,Island of Puerto Rico,0
2012-07-02,32,23,0.0,12.0,6,90,07:00 PM,05:30 AM,06:45 AM,07:53 PM,24,31,31,27,13,47,85,2.3,1012,32,7,81,6,Island of Puerto Rico,0
2012-07-03,33,15,0.0,15.0,6,97,08:42 PM,05:41 AM,05:49 AM,08:49 PM,16,25,25,24,16,16,66,0.0,1013,33,10,215,9,Northern Illinois,0
2012-06-29,40,23,0.0,11.0,7,71,04:25 PM,02:08 AM,06:03 AM,08:39 PM,18,34,34,31,23,18,50,2.5,1009,40,10,278,11,North Carolina,0
2012-06-30,33,21,0.0,15.0,7,78,05:28 PM,02:29 AM,05:37 AM,08:35 PM,19,29,29,27,19,14,74,0.5,1008,33,10,281,9,Southeastern Michigan,0
2012-07-04,34,25,0.0,14.0,6,100,09:01 PM,06:22 AM,05:19 AM,08:25 PM,24,34,34,29,22,13,84,0.1,1011,34,9,242,11,Michigan,0
2012-04-21,13,2,0.0,7.0,2,0,06:04 AM,08:28 PM,06:08 AM,07:46 PM,2,7,7,7,13,48,69,0.0,1017,13,10,50,6,Ohio,0
2012-04-22,10,6,0.0,1.0,2,3,06:44 AM,09:23 PM,06:13 AM,07:48 PM,7,5,8,5,32,92,91,54.1,1003,10,6,183,18,Southeastern Michigan,0
2012-04-23,13,8,0.0,6.0,2,11,07:32 AM,10:10 PM,06:19 AM,07:46 PM,6,7,10,7,37,67,78,1.6,999,13,9,279,24,Virginia,0
2012-04-19,26,9,0.0,13.0,5,0,05:09 AM,06:22 PM,06:14 AM,07:29 PM,5,17,17,17,21,1,45,0.0,1015,26,10,281,12,California,0
2012-04-15,25,14,0.0,13.0,4,26,03:31 AM,02:54 PM,06:44 AM,07:52 PM,15,19,20,19,33,41,84,0.0,1021,25,10,220,18,North Carolina,0
2012-04-12,23,10,0.0,12.0,4,49,01:11 AM,10:53 AM,06:25 AM,07:39 PM,9,16,17,16,13,47,73,0.5,1010,23,9,181,8,Georgia,0
2012-04-07,14,-1,0.0,13.0,3,87,09:15 PM,06:55 AM,06:45 AM,07:44 PM,-5,3,6,3,25,2,50,0.0,1022,14,10,324,13,Pennsylvania,0
2012-03-26,8,-3,0.0,12.0,2,22,08:55 AM,11:45 PM,07:08 AM,07:34 PM,-3,-1,3,-1,35,8,66,0.0,1021,8,10,323,20,Northern Illinois,0
2012-03-23,25,13,0.0,12.0,4,0,07:21 AM,08:52 PM,07:13 AM,07:31 PM,12,18,19,18,18,13,68,0.2,1016,25,10,142,10,Northern Illinois,0
2012-03-04,2,-4,0.0,10.0,1,77,02:20 PM,04:03 AM,06:43 AM,06:10 PM,-7,-7,-1,-7,31,51,67,0.6,1009,2,8,279,19,Northern Illinois,0
2012-03-05,1,-6,0.0,12.0,2,84,03:27 PM,04:41 AM,06:42 AM,06:11 PM,-10,-8,-3,-8,27,41,65,0.1,1022,1,8,298,15,Northern Illinois,0
2012-02-14,1,-3,0.0,2.0,1,41,12:31 AM,10:22 AM,06:45 AM,05:19 PM,-3,-5,-1,-5,21,83,90,1.6,1013,1,8,216,13,Michigan,0
2012-02-15,17,7,0.0,10.0,3,34,01:25 AM,12:15 PM,06:45 AM,06:00 PM,6,10,11,10,23,60,78,0.9,1016,17,7,201,10,San Francisco Bay Area,0
2012-02-11,-2,-11,0.5,1.0,1,64,10:32 PM,08:54 AM,07:15 AM,05:45 PM,-7,-12,-6,-12,31,98,93,2.9,1012,-2,1,271,19,Northern Illinois,0
2012-01-24,9,2,0.0,10.0,3,0,07:41 AM,06:53 PM,07:13 AM,05:03 PM,3,3,6,3,25,19,85,0.1,1017,9,10,274,15,New York,0
2012-01-15,5,-2,0.0,10.0,2,50,No moonrise,10:59 AM,07:28 AM,05:26 PM,-6,-2,1,-2,20,13,60,0.0,1029,5,10,215,11,North Carolina,0
2012-01-13,8,-2,0.0,9.0,1,65,10:03 PM,09:31 AM,07:20 AM,04:51 PM,-2,-3,2,-3,45,47,75,3.8,1001,8,7,232,27,Newark,0
2012-01-12,14,4,0.0,9.0,3,72,08:59 PM,08:56 AM,07:01 AM,05:00 PM,-12,6,8,6,20,20,23,0.0,1019,14,10,61,11,California,0
2012-01-04,-4,-17,0.0,7.0,1,70,01:23 PM,03:25 AM,07:40 AM,05:01 PM,-12,-14,-9,-14,26,63,86,0.0,1021,-4,8,227,14,Northern and Central California,0
2011-12-31,5,2,0.0,1.0,1,37,11:21 AM,No moonset,07:39 AM,04:57 PM,2,0,3,0,25,78,93,1.6,1014,5,8,244,15,Northern and Central California,0
2011-12-20,3,1,0.0,6.0,1,25,02:45 AM,01:14 PM,07:26 AM,04:36 PM,0,-2,2,-2,23,59,88,1.9,1016,3,7,77,14,Illinois,0
2011-12-08,1,-5,0.0,7.0,1,88,03:07 PM,05:23 AM,07:12 AM,04:27 PM,-7,-6,-2,-6,15,62,71,0.3,1023,1,10,272,10,Ohio,0
2011-12-05,17,13,0.0,6.0,4,66,01:40 PM,02:25 AM,07:02 AM,04:47 PM,13,15,15,15,22,49,88,0.0,1026,17,10,142,13,Virginia,0
2011-12-06,0,-4,0.0,1.0,1,74,02:03 PM,03:32 AM,07:15 AM,04:34 PM,-4,-5,-1,-5,18,90,85,1.4,1026,0,4,170,11,Illinois,0
2011-12-02,11,3,0.0,9.0,3,44,12:14 PM,No moonset,07:05 AM,04:37 PM,2,4,6,4,16,2,75,0.0,1029,11,10,276,10,Southeastern Michigan,0
2011-12-03,7,-2,0.0,9.0,2,52,12:53 PM,12:45 AM,07:22 AM,04:48 PM,-3,-2,1,-2,23,13,75,0.0,1034,7,10,127,12,Northern and Central California,0
2011-12-04,25,11,0.0,11.0,5,59,01:32 PM,01:26 AM,06:21 AM,05:37 PM,12,17,17,17,15,12,75,0.0,1014,25,10,69,4,Alberta,0
2011-12-07,7,-2,8.5,1.0,1,81,02:44 PM,04:34 AM,07:22 AM,04:44 PM,3,2,4,2,20,91,95,36.1,1010,7,5,288,10,Pennsylvania,0
2011-10-29,11,2,0.0,10.0,3,12,10:51 AM,08:19 PM,07:26 AM,05:57 PM,-2,4,6,4,19,9,60,0.0,1019,11,10,251,11,Ohio,0
2011-10-30,5,-4,0.0,11.0,2,19,12:01 PM,09:42 PM,07:43 AM,06:14 PM,-3,-2,0,-2,11,13,89,0.0,1025,5,8,195,5,Northern Illinois,0
2011-10-31,5,-4,0.0,4.0,1,23,12:47 PM,10:43 PM,07:41 AM,06:09 PM,-1,-2,1,-2,16,58,96,0.0,1026,5,3,149,8,Pennsylvania,0
2011-11-02,15,6,0.0,8.0,3,43,01:50 PM,No moonset,07:31 AM,05:52 PM,6,9,11,9,31,63,74,4.0,1016,15,8,146,20,Ohio,0
2011-11-03,16,8,0.0,11.0,4,50,02:18 PM,12:49 AM,07:30 AM,06:05 PM,8,12,12,12,15,1,71,0.0,1019,16,10,214,9,Virginia,0
2011-11-04,10,3,0.0,10.0,3,58,02:41 PM,01:36 AM,07:30 AM,05:49 PM,3,5,8,5,30,12,71,0.0,1018,10,10,82,18,New York,0
2011-11-05,20,7,0.0,11.0,4,65,02:21 PM,01:56 AM,06:20 AM,05:23 PM,6,11,12,11,31,35,76,0.0,1014,20,9,218,13,San Francisco Bay Area,0
2011-11-06,25,22,0.0,11.0,5,73,04:02 PM,03:58 AM,07:37 AM,06:30 PM,19,25,25,23,30,67,81,0.0,1017,25,10,134,18,Texas,0
2011-11-07,19,7,0.0,11.0,4,80,03:24 PM,03:50 AM,06:44 AM,05:18 PM,9,12,12,12,16,1,81,0.0,1027,19,8,59,9,Southern California,0
2011-08-28,32,21,0.0,13.0,7,0,06:10 AM,07:20 PM,06:46 AM,07:51 PM,13,27,27,26,24,3,53,0.0,1004,32,10,298,12,North Carolina,0
2011-08-29,33,19,0.0,13.0,7,0,07:21 AM,07:55 PM,06:48 AM,07:49 PM,19,27,27,25,17,20,73,0.0,1010,33,9,97,9,Southern California,0
2011-08-30,24,15,0.0,12.0,4,5,08:17 AM,08:07 PM,06:21 AM,07:35 PM,15,19,20,19,22,54,84,9.9,1015,24,9,132,12,Ohio,0
2011-08-31,25,15,0.0,7.0,4,9,08:20 AM,08:22 PM,05:56 AM,06:22 PM,18,20,20,20,9,73,90,60.2,1011,25,8,219,3,Alberta,0
2011-09-02,22,10,0.0,13.0,5,28,12:39 PM,09:56 PM,06:30 AM,07:48 PM,9,15,16,15,15,18,70,0.0,1022,22,10,155,7,Tacoma,0
2011-09-03,26,17,0.0,12.0,5,36,01:06 PM,10:45 PM,06:24 AM,07:26 PM,19,22,23,22,19,31,88,0.0,1014,26,9,220,12,New York,0
2011-08-27,37,26,0.0,13.0,8,2,05:15 AM,06:40 PM,06:54 AM,07:48 PM,23,36,36,31,24,8,68,0.0,1011,37,10,237,14,Texas,0
2011-08-26,28,14,0.0,13.0,6,9,03:36 AM,06:09 PM,06:32 AM,07:54 PM,16,21,21,21,12,28,77,0.0,1015,28,8,80,6,Pennsylvania,0
2011-08-24,27,15,0.0,9.0,5,24,01:27 AM,02:46 PM,05:55 AM,06:26 PM,17,20,21,20,10,52,83,2.9,1012,27,7,104,3,Alberta,0
2011-08-25,29,21,0.0,9.0,5,16,02:20 AM,05:18 PM,06:23 AM,07:45 PM,21,26,26,23,26,56,89,5.3,1012,29,9,204,11,Southeastern Michigan,0
2011-08-23,29,17,0.0,13.0,6,31,12:02 AM,03:31 PM,06:17 AM,07:50 PM,14,23,23,23,18,14,68,0.0,1016,29,10,243,8,Georgia,0
2011-08-20,29,14,0.0,14.0,6,53,11:06 PM,01:08 PM,06:26 AM,08:03 PM,15,21,22,21,9,6,71,0.0,1015,29,9,211,4,Pennsylvania,0
2011-08-21,32,22,0.0,10.0,6,46,No moonrise,01:57 PM,06:41 AM,07:59 PM,23,30,30,26,22,44,83,4.8,1014,32,9,213,11,Southern California,0
2011-08-22,27,14,0.0,13.0,6,38,No moonrise,02:59 PM,06:19 AM,07:53 PM,16,21,22,21,13,5,81,0.0,1016,27,10,163,6,Illinois,0
2011-08-02,24,16,0.0,8.0,4,16,08:34 AM,08:55 PM,05:51 AM,06:38 PM,18,19,20,19,11,68,91,41.7,1012,24,8,134,3,Alberta,0
2011-08-03,23,19,0.0,7.0,5,24,10:51 AM,10:24 PM,06:13 AM,08:28 PM,19,21,22,21,18,80,91,13.2,1006,23,8,234,8,Northern California,0
2011-08-04,36,26,0.0,14.0,8,31,11:59 AM,11:10 PM,06:28 AM,08:18 PM,22,34,34,30,16,26,71,0.0,1009,36,10,97,8,Southern California,0
2011-08-05,34,26,0.0,14.0,7,38,01:03 PM,No moonset,06:42 AM,08:09 PM,24,35,35,30,24,13,79,0.0,1013,34,10,200,13,Texas,0
2011-07-23,32,26,0.0,13.0,6,42,No moonrise,02:04 PM,06:02 AM,08:18 PM,24,35,35,29,31,16,84,0.9,1014,32,9,229,18,Virginia,0
2011-07-24,28,20,0.0,15.0,6,34,12:07 AM,02:52 PM,05:47 AM,08:27 PM,15,26,26,25,16,38,69,1.2,1012,28,9,225,8,Georgia,0
2011-07-22,32,18,0.0,15.0,6,49,11:54 PM,12:59 PM,05:54 AM,08:03 PM,5,24,24,25,31,0,29,0.0,1010,32,10,250,18,California,0
2011-07-14,26,18,0.0,15.0,6,93,08:00 PM,04:54 AM,05:38 AM,08:27 PM,15,22,22,22,25,7,72,0.0,1015,26,10,155,14,Newark,0
2011-07-12,28,20,0.0,13.0,5,78,06:30 PM,02:52 AM,05:34 AM,08:32 PM,21,26,26,24,15,42,86,0.3,1014,28,7,164,8,Ohio,0
2011-07-11,30,24,0.0,13.0,6,71,05:30 PM,02:00 AM,05:34 AM,08:33 PM,25,31,31,27,19,42,93,18.5,1010,30,7,262,10,Ohio,0
2011-07-04,26,16,0.0,15.0,6,20,09:30 AM,10:51 PM,05:49 AM,08:49 PM,16,21,22,21,12,19,74,0.0,1014,26,10,220,7,Northern Illinois,0
2011-06-30,32,20,0.0,15.0,7,0,04:22 AM,07:54 PM,05:29 AM,08:39 PM,14,26,26,26,13,8,54,0.0,1008,32,10,220,5,Georgia,0
2011-06-27,35,17,0.0,14.0,6,9,02:32 AM,05:05 PM,05:40 AM,08:10 PM,4,25,25,26,26,27,28,0.0,1011,35,10,243,15,California,0
2011-06-21,28,16,0.0,11.0,5,54,11:12 PM,10:45 AM,05:40 AM,06:42 PM,18,20,21,20,9,50,85,17.5,1012,28,9,211,3,Alberta,0
2011-06-22,38,25,0.0,10.0,7,47,12:18 AM,12:39 PM,06:42 AM,07:52 PM,23,35,35,31,11,33,68,5.0,1009,38,9,137,5,Island of Puerto Rico,0
2011-06-23,26,16,0.0,10.0,5,39,01:24 AM,02:03 PM,07:05 AM,08:34 PM,14,20,21,20,13,58,67,29.3,1012,26,9,171,8,San Francisco Bay Area,0
2011-06-15,27,15,0.0,15.0,6,100,08:23 PM,04:44 AM,05:26 AM,08:37 PM,15,21,22,21,17,13,75,0.0,1013,27,10,289,9,Georgia,0
2011-06-16,18,6,0.0,16.0,3,100,10:05 PM,06:03 AM,05:13 AM,09:08 PM,7,12,12,12,15,43,74,0.0,1017,18,8,235,6,Tacoma,0
2011-06-12,18,13,0.0,9.0,4,78,05:25 PM,02:36 AM,05:23 AM,08:32 PM,12,15,15,15,19,74,91,0.0,1019,18,4,56,9,Ohio,0
2011-06-09,33,23,0.0,15.0,7,55,01:46 PM,01:06 AM,05:45 AM,08:22 PM,22,31,31,28,24,3,75,0.0,1014,33,10,228,13,Virginia,0
2011-06-07,26,16,0.0,15.0,6,40,11:20 AM,No moonset,05:26 AM,08:25 PM,18,23,23,22,21,22,89,0.0,1014,26,8,257,11,Newark,0
2011-06-08,29,20,0.0,15.0,6,48,12:29 PM,12:28 AM,05:25 AM,08:25 PM,20,26,26,25,15,3,84,0.0,1012,29,10,252,8,New York,0
2011-05-08,20,10,0.0,14.0,4,35,10:02 AM,12:09 AM,05:47 AM,08:00 PM,10,15,15,15,15,15,76,0.0,1013,20,10,191,8,Newark,0
2011-05-04,9,3,0.0,5.0,2,6,06:43 AM,09:57 PM,06:10 AM,08:14 PM,4,3,6,3,28,73,88,4.4,1022,9,9,303,15,Northern and Central California,0
2011-04-19,27,15,0.0,12.0,5,84,08:21 PM,06:59 AM,05:52 AM,06:24 PM,16,21,21,21,15,40,78,5.3,1013,27,8,242,6,Alberta,0
2011-03-21,24,12,0.0,12.0,5,84,08:34 PM,07:29 AM,06:12 AM,06:20 PM,12,18,18,18,26,16,71,0.0,1016,24,10,71,10,Alberta,0
2011-03-19,8,-2,0.0,12.0,1,100,07:47 PM,06:51 AM,07:21 AM,07:26 PM,0,0,3,0,26,35,84,0.0,1029,8,9,318,15,Northern and Central California,0
2011-03-20,9,7,0.0,12.0,3,100,08:47 PM,07:16 AM,07:08 AM,07:16 PM,3,5,8,5,24,29,70,0.0,1034,9,9,65,15,Virginia,0
2011-03-22,27,8,0.0,12.0,5,77,10:30 PM,08:49 AM,06:50 AM,06:59 PM,3,17,17,17,17,18,53,0.0,1014,27,9,118,8,San Francisco Bay Area,0
2011-03-23,14,1,0.0,12.0,3,70,12:02 AM,08:59 AM,07:07 AM,07:27 PM,2,6,7,6,15,31,76,0.0,1007,14,9,81,8,Tacoma,0
2011-03-24,29,21,0.0,4.0,5,63,11:03 PM,10:25 AM,06:03 AM,06:10 PM,19,26,26,24,13,54,78,7.8,1010,29,9,207,4,Island of Puerto Rico,0
2011-03-10,9,3,0.0,1.0,2,36,08:42 AM,11:52 PM,06:16 AM,05:57 PM,6,2,6,2,46,100,98,25.0,1020,9,6,112,26,New York,0
2011-03-11,12,3,0.0,7.0,2,43,09:24 AM,No moonset,06:14 AM,05:58 PM,5,6,8,6,28,58,90,34.8,1008,12,8,220,15,New York,0
2011-02-25,9,1,0.0,10.0,2,38,01:25 AM,11:20 AM,06:26 AM,05:44 PM,2,1,5,1,38,42,81,6.6,1015,9,9,228,23,California,0
2011-02-26,4,-8,0.0,9.0,1,31,02:55 AM,12:16 PM,06:54 AM,06:03 PM,-4,-5,-2,-5,15,65,90,1.1,1020,4,6,210,8,Northern California,0
2011-02-27,21,15,0.0,11.0,4,23,03:19 AM,01:53 PM,06:47 AM,06:17 PM,15,18,18,18,35,61,80,0.0,1018,21,10,168,20,Texas,0
2011-02-28,26,13,0.0,12.0,4,16,04:12 AM,02:33 PM,06:49 AM,06:12 PM,14,18,20,18,43,49,86,15.3,1013,26,9,204,22,Southern California,0
2011-02-17,16,9,0.0,1.0,3,100,05:17 PM,06:11 AM,06:56 AM,05:40 PM,12,11,13,11,43,79,98,0.0,1003,16,7,211,23,Illinois,0
2011-02-18,16,5,0.0,9.0,2,100,06:23 PM,06:33 AM,06:46 AM,05:34 PM,8,8,10,8,30,52,95,0.0,1009,16,10,249,15,New York,0
2011-02-19,23,5,0.0,12.0,4,84,07:54 PM,07:20 AM,06:41 AM,06:03 PM,-3,12,12,12,22,0,44,0.0,1018,23,10,175,9,San Francisco Bay Area,0
2011-02-09,28,11,0.0,12.0,5,41,10:28 AM,11:31 PM,06:36 AM,06:10 PM,11,18,18,18,11,25,72,0.2,1013,28,8,158,3,Alberta,0
2011-02-10,-10,-20,0.0,11.0,1,48,09:55 AM,No moonset,06:50 AM,05:15 PM,-15,-24,-15,-24,29,49,97,0.0,1022,-10,10,224,17,Michigan,0
2011-02-03,2,-2,0.0,10.0,1,0,07:15 AM,06:46 PM,07:08 AM,05:59 PM,-5,-5,0,-5,27,49,66,0.7,1030,2,10,140,20,Texas,0
2011-02-04,4,0,0.0,2.0,1,3,07:48 AM,07:33 PM,07:16 AM,05:48 PM,-2,1,2,1,7,84,77,14.9,1025,4,8,125,5,North Carolina,0
2011-02-02,8,-2,0.0,11.0,2,0,06:25 AM,05:20 PM,06:50 AM,05:22 PM,-12,-1,2,-1,22,0,39,0.0,1028,8,10,86,12,California,0
2011-01-26,12,3,0.0,10.0,3,48,01:07 AM,10:43 AM,07:43 AM,05:03 PM,4,6,7,6,9,20,82,0.0,1025,12,10,135,4,Tacoma,0
2011-01-27,-3,-10,0.8,1.0,1,40,01:45 AM,11:25 AM,07:15 AM,05:07 PM,-7,-12,-7,-12,18,90,97,1.9,1014,-3,6,266,11,Ohio,0
2011-01-25,1,-7,0.0,7.0,1,55,No moonrise,10:08 AM,07:12 AM,05:05 PM,-3,-4,-2,-4,10,52,91,0.0,1022,1,9,197,6,New York,0
2010-12-14,22,1,0.0,11.0,4,54,01:16 PM,01:15 AM,07:19 AM,06:05 PM,-1,10,10,10,11,3,55,0.0,1018,22,10,143,5,San Francisco Bay Area,0
2010-12-15,22,5,0.0,11.0,4,62,01:50 PM,02:04 AM,07:19 AM,06:06 PM,-5,12,13,12,21,0,35,0.0,1013,22,10,242,11,San Francisco Bay Area,0
